batting_average,batting_strike_rate,ducks,fifties,highest_score,hundreds,innings_batted,last_played_year,matches_played,not_outs,player,playing_span,runs,start_year,team_name
0.0,0.0,0,0,,0,0,2023,3,0,MJ Dagar,,0,2023,Sunrisers Hyderabad
14.75,103.5,2,0,14,0,12,2017,38,8,S Aravind,,59,2011,Royal Challengers Bangalore
9.6,104.34,1,0,19,0,7,2013,16,2,KB Arun Karthik,,48,2011,Royal Challengers Bangalore
20.3,129.84,7,0,48,0,54,2019,72,18,STR Binny,,731,2011,Rajasthan Royals
30.45,114.72,0,1,67,0,19,2012,24,8,J Botha,,335,2009,Rajasthan Royals
1.5,33.33,1,0,3,0,2,2024,2,0,RK Bhui,,3,2024,Delhi Daredevils
22.6,134.52,1,2,55,0,10,2017,11,0,SW Billings,,226,2016,Delhi Daredevils
4.0,80.0,0,0,3,0,2,2009,6,1,FH Edwards,,4,2009,Deccan Chargers
26.83,111.96,4,5,69,0,33,2010,33,3,HH Gibbs,,805,2008,Deccan Chargers
20.2,110.38,2,0,37,0,13,2011,14,3,PA Patel,,202,2011,Kochi Tuskers Kerala
11.5,85.18,0,0,22,0,2,2011,4,0,NLTC Perera,,23,2011,Kochi Tuskers Kerala
8.0,160.0,0,0,8,0,1,2010,1,0,STR Binny,,8,2010,Mumbai Indians
17.14,133.33,1,1,51,0,7,2012,7,0,AC Blizzard,,120,2011,Mumbai Indians
13.25,122.3,0,0,26,0,22,2013,46,10,R Bhatia,,159,2011,Kolkata Knight Riders
2.5,38.46,1,0,2,0,4,2022,5,2,VG Arora,,5,2022,Kings XI Punjab
2.5,83.33,1,0,5,0,2,2023,33,0,Mohammed Shami,,5,2022,Gujarat Titans
6.0,100.0,1,0,12,0,2,2024,6,0,DG Nalkande,,12,2022,Gujarat Titans
5.0,55.55,1,0,10,0,2,2011,3,0,AA Jhunjhunwala,,10,2011,Pune Warriors
0.0,0.0,0,0,,0,0,2011,1,0,Kamran Khan,,0,2011,Pune Warriors
0.0,0.0,0,0,,0,0,2017,1,0,MS Gony,,0,2017,Gujarat Lions
21.26,129.14,1,1,61,0,15,2017,16,0,Ishan Kishan,,319,2016,Gujarat Lions
32.34,137.19,0,5,100,1,28,2015,28,2,BB McCullum,,841,2014,Chennai Super Kings
0.0,0.0,0,0,,0,0,2023,2,0,SSB Magala,,0,2023,Chennai Super Kings
0.0,0.0,3,0,0,0,3,2017,12,0,SN Thakur,,0,2017,Rising Pune Supergiants
32.4,137.28,1,2,60,0,13,2017,15,3,MK Tiwary,,324,2017,Rising Pune Supergiants
41.47,130.67,3,10,103,2,38,2024,38,4,KL Rahul,,1410,2022,Lucknow Super Giants
4.0,70.58,1,0,5,0,11,2024,43,5,Ravi Bishnoi,,24,2022,Lucknow Super Giants
2.0,40.0,1,0,4,0,3,2013,3,0,Q de Kock,,6,2013,Sunrisers Hyderabad
34.49,124.28,3,19,92,0,85,2018,85,12,S Dhawan,,2518,2013,Sunrisers Hyderabad
7.66,100.0,1,0,22,0,3,2008,3,0,J Arunkumar,,23,2008,Royal Challengers Bangalore
1.0,50.0,0,0,1,0,1,2018,2,0,M Ashwin,,1,2018,Royal Challengers Bangalore
14.0,118.64,1,0,17,0,17,2024,42,12,TA Boult,,70,2022,Rajasthan Royals
0.0,0.0,0,0,,0,0,2024,6,0,N Burger,,0,2024,Rajasthan Royals
15.0,129.31,0,0,27,0,5,2011,5,0,TR Birt,,75,2011,Delhi Daredevils
7.16,82.69,0,0,23,0,6,2013,6,0,J Botha,,43,2013,Delhi Daredevils
27.11,147.34,4,7,109,1,46,2010,46,1,AC Gilchrist,,1220,2008,Deccan Chargers
2.0,40.0,1,0,4,0,3,2012,9,1,MS Gony,,4,2011,Deccan Chargers
11.0,84.61,1,0,8,0,3,2011,5,2,RR Powar,,11,2011,Kochi Tuskers Kerala
0.0,0.0,0,0,,0,0,2011,1,0,P Prasanth,,0,2011,Kochi Tuskers Kerala
1.0,20.0,1,0,1,0,5,2021,29,4,TA Boult,,1,2020,Mumbai Indians
24.14,122.46,0,0,36,0,8,2022,8,1,SW Billings,,169,2022,Kolkata Knight Riders
