Ground,Match_Date,Result_Margin,Season,Team_1,Team_2,Winner,result_margin_type,result_margin_value
Chennai,"May 26, 2024",8 wickets,2024,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,8
Chennai,"May 24, 2024",36 runs,2024,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,36
Ahmedabad,"May 22, 2024",4 wickets,2024,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,wickets,4
Ahmedabad,"May 21, 2024",8 wickets,2024,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,8
Hyderabad,"May 19, 2024",4 wickets,2024,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,wickets,4
Bengaluru,"May 18, 2024",27 runs,2024,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,runs,27
Wankhede,"May 17, 2024",18 runs,2024,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,runs,18
Guwahati,"May 15, 2024",5 wickets,2024,Rajasthan Royals,Punjab Kings,Punjab Kings,wickets,5
Delhi,"May 14, 2024",19 runs,2024,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,runs,19
Bengaluru,"May 12, 2024",47 runs,2024,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,runs,47
Chennai,"May 12, 2024",5 wickets,2024,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,wickets,5
Eden Gardens,"May 11, 2024",18 runs,2024,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,runs,18
Ahmedabad,"May 10, 2024",35 runs,2024,Gujarat Titans,Chennai Super Kings,Gujarat Titans,runs,35
Dharamsala,"May 9, 2024",60 runs,2024,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,60
Hyderabad,"May 8, 2024",10 wickets,2024,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,wickets,10
Delhi,"May 7, 2024",20 runs,2024,Delhi Capitals,Rajasthan Royals,Delhi Capitals,runs,20
Wankhede,"May 6, 2024",7 wickets,2024,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,wickets,7
Lucknow,"May 5, 2024",98 runs,2024,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,runs,98
Dharamsala,"May 5, 2024",28 runs,2024,Punjab Kings,Chennai Super Kings,Chennai Super Kings,runs,28
Bengaluru,"May 4, 2024",4 wickets,2024,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,wickets,4
Wankhede,"May 3, 2024",24 runs,2024,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,runs,24
Hyderabad,"May 2, 2024",1 run,2024,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,run,1
Chennai,"May 1, 2024",7 wickets,2024,Chennai Super Kings,Punjab Kings,Punjab Kings,wickets,7
Lucknow,"Apr 30, 2024",4 wickets,2024,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,wickets,4
Eden Gardens,"Apr 29, 2024",7 wickets,2024,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,wickets,7
Chennai,"Apr 28, 2024",78 runs,2024,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,runs,78
Ahmedabad,"Apr 28, 2024",9 wickets,2024,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,9
Lucknow,"Apr 27, 2024",7 wickets,2024,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,wickets,7
Delhi,"Apr 27, 2024",10 runs,2024,Delhi Capitals,Mumbai Indians,Delhi Capitals,runs,10
Eden Gardens,"Apr 26, 2024",8 wickets,2024,Kolkata Knight Riders,Punjab Kings,Punjab Kings,wickets,8
Hyderabad,"Apr 25, 2024",35 runs,2024,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,35
Delhi,"Apr 24, 2024",4 runs,2024,Delhi Capitals,Gujarat Titans,Delhi Capitals,runs,4
Chennai,"Apr 23, 2024",6 wickets,2024,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,wickets,6
Jaipur,"Apr 22, 2024",9 wickets,2024,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,9
Mullanpur,"Apr 21, 2024",3 wickets,2024,Punjab Kings,Gujarat Titans,Gujarat Titans,wickets,3
Eden Gardens,"Apr 21, 2024",1 run,2024,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,run,1
Delhi,"Apr 20, 2024",67 runs,2024,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,67
Lucknow,"Apr 19, 2024",8 wickets,2024,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,wickets,8
Mullanpur,"Apr 18, 2024",9 runs,2024,Punjab Kings,Mumbai Indians,Mumbai Indians,runs,9
Ahmedabad,"Apr 17, 2024",6 wickets,2024,Gujarat Titans,Delhi Capitals,Delhi Capitals,wickets,6
Eden Gardens,"Apr 16, 2024",2 wickets,2024,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,wickets,2
Bengaluru,"Apr 15, 2024",25 runs,2024,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,25
Wankhede,"Apr 14, 2024",20 runs,2024,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,runs,20
Eden Gardens,"Apr 14, 2024",8 wickets,2024,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,wickets,8
Mullanpur,"Apr 13, 2024",3 wickets,2024,Punjab Kings,Rajasthan Royals,Rajasthan Royals,wickets,3
Lucknow,"Apr 12, 2024",6 wickets,2024,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,wickets,6
Wankhede,"Apr 11, 2024",7 wickets,2024,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,wickets,7
Jaipur,"Apr 10, 2024",3 wickets,2024,Rajasthan Royals,Gujarat Titans,Gujarat Titans,wickets,3
Mullanpur,"Apr 9, 2024",2 runs,2024,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,2
Chennai,"Apr 8, 2024",7 wickets,2024,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,wickets,7
Lucknow,"Apr 7, 2024",33 runs,2024,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,runs,33
Wankhede,"Apr 7, 2024",29 runs,2024,Mumbai Indians,Delhi Capitals,Mumbai Indians,runs,29
Jaipur,"Apr 6, 2024",6 wickets,2024,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,wickets,6
Hyderabad,"Apr 5, 2024",6 wickets,2024,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,wickets,6
Ahmedabad,"Apr 4, 2024",3 wickets,2024,Gujarat Titans,Punjab Kings,Punjab Kings,wickets,3
Visakhapatnam,"Apr 3, 2024",106 runs,2024,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,runs,106
Bengaluru,"Apr 2, 2024",28 runs,2024,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,runs,28
Wankhede,"Apr 1, 2024",6 wickets,2024,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,wickets,6
Visakhapatnam,"Mar 31, 2024",20 runs,2024,Delhi Capitals,Chennai Super Kings,Delhi Capitals,runs,20
Ahmedabad,"Mar 31, 2024",7 wickets,2024,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,wickets,7
Lucknow,"Mar 30, 2024",21 runs,2024,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,runs,21
Bengaluru,"Mar 29, 2024",7 wickets,2024,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Jaipur,"Mar 28, 2024",12 runs,2024,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,runs,12
Hyderabad,"Mar 27, 2024",31 runs,2024,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,runs,31
Chennai,"Mar 26, 2024",63 runs,2024,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,runs,63
Bengaluru,"Mar 25, 2024",4 wickets,2024,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,wickets,4
Ahmedabad,"Mar 24, 2024",6 runs,2024,Gujarat Titans,Mumbai Indians,Gujarat Titans,runs,6
Jaipur,"Mar 24, 2024",20 runs,2024,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,runs,20
Eden Gardens,"Mar 23, 2024",4 runs,2024,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,runs,4
Mullanpur,"Mar 23, 2024",4 wickets,2024,Punjab Kings,Delhi Capitals,Punjab Kings,wickets,4
Chennai,"Mar 22, 2024",6 wickets,2024,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,6
Ahmedabad,"May 28-29, 2023",5 wickets,2023,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,wickets,5
Ahmedabad,"May 26, 2023",62 runs,2023,Gujarat Titans,Mumbai Indians,Gujarat Titans,runs,62
Chennai,"May 24, 2023",81 runs,2023,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,runs,81
Chennai,"May 23, 2023",15 runs,2023,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,runs,15
Bengaluru,"May 21, 2023",6 wickets,2023,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,wickets,6
Wankhede,"May 21, 2023",8 wickets,2023,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,wickets,8
Eden Gardens,"May 20, 2023",1 run,2023,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,run,1
Delhi,"May 20, 2023",77 runs,2023,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,runs,77
Dharamsala,"May 19, 2023",4 wickets,2023,Punjab Kings,Rajasthan Royals,Rajasthan Royals,wickets,4
Hyderabad,"May 18, 2023",8 wickets,2023,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,8
Dharamsala,"May 17, 2023",15 runs,2023,Punjab Kings,Delhi Capitals,Delhi Capitals,runs,15
Lucknow,"May 16, 2023",5 runs,2023,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,runs,5
Ahmedabad,"May 15, 2023",34 runs,2023,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,runs,34
Chennai,"May 14, 2023",6 wickets,2023,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,wickets,6
Jaipur,"May 14, 2023",112 runs,2023,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,112
Delhi,"May 13, 2023",31 runs,2023,Delhi Capitals,Punjab Kings,Punjab Kings,runs,31
Hyderabad,"May 13, 2023",7 wickets,2023,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,wickets,7
Wankhede,"May 12, 2023",27 runs,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,runs,27
Eden Gardens,"May 11, 2023",9 wickets,2023,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,wickets,9
Chennai,"May 10, 2023",27 runs,2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,runs,27
Wankhede,"May 9, 2023",6 wickets,2023,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,wickets,6
Eden Gardens,"May 8, 2023",5 wickets,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,wickets,5
Jaipur,"May 7, 2023",4 wickets,2023,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,4
Ahmedabad,"May 7, 2023",56 runs,2023,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,runs,56
Delhi,"May 6, 2023",7 wickets,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,wickets,7
Chennai,"May 6, 2023",6 wickets,2023,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,wickets,6
Jaipur,"May 5, 2023",9 wickets,2023,Rajasthan Royals,Gujarat Titans,Gujarat Titans,wickets,9
Hyderabad,"May 4, 2023",5 runs,2023,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,runs,5
Mohali,"May 3, 2023",6 wickets,2023,Punjab Kings,Mumbai Indians,Mumbai Indians,wickets,6
Ahmedabad,"May 2, 2023",5 runs,2023,Gujarat Titans,Delhi Capitals,Delhi Capitals,runs,5
Lucknow,"May 1, 2023",18 runs,2023,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,18
Wankhede,"Apr 30, 2023",6 wickets,2023,Mumbai Indians,Rajasthan Royals,Mumbai Indians,wickets,6
Chennai,"Apr 30, 2023",4 wickets,2023,Chennai Super Kings,Punjab Kings,Punjab Kings,wickets,4
Delhi,"Apr 29, 2023",9 runs,2023,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,9
Eden Gardens,"Apr 29, 2023",7 wickets,2023,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,wickets,7
Mohali,"Apr 28, 2023",56 runs,2023,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,runs,56
Jaipur,"Apr 27, 2023",32 runs,2023,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,runs,32
Bengaluru,"Apr 26, 2023",21 runs,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,runs,21
Ahmedabad,"Apr 25, 2023",55 runs,2023,Gujarat Titans,Mumbai Indians,Gujarat Titans,runs,55
Hyderabad,"Apr 24, 2023",7 runs,2023,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,runs,7
Eden Gardens,"Apr 23, 2023",49 runs,2023,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,runs,49
Bengaluru,"Apr 23, 2023",7 runs,2023,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,runs,7
Wankhede,"Apr 22, 2023",13 runs,2023,Mumbai Indians,Punjab Kings,Punjab Kings,runs,13
Lucknow,"Apr 22, 2023",7 runs,2023,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,runs,7
Chennai,"Apr 21, 2023",7 wickets,2023,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,wickets,7
Delhi,"Apr 20, 2023",4 wickets,2023,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,wickets,4
Mohali,"Apr 20, 2023",24 runs,2023,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,24
Jaipur,"Apr 19, 2023",10 runs,2023,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,runs,10
Hyderabad,"Apr 18, 2023",14 runs,2023,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,runs,14
Bengaluru,"Apr 17, 2023",8 runs,2023,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,runs,8
Ahmedabad,"Apr 16, 2023",3 wickets,2023,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,wickets,3
Wankhede,"Apr 16, 2023",5 wickets,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,5
Lucknow,"Apr 15, 2023",2 wickets,2023,Lucknow Super Giants,Punjab Kings,Punjab Kings,wickets,2
Bengaluru,"Apr 15, 2023",23 runs,2023,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,runs,23
Eden Gardens,"Apr 14, 2023",23 runs,2023,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,23
Mohali,"Apr 13, 2023",6 wickets,2023,Punjab Kings,Gujarat Titans,Gujarat Titans,wickets,6
Chennai,"Apr 12, 2023",3 runs,2023,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,runs,3
Delhi,"Apr 11, 2023",6 wickets,2023,Delhi Capitals,Mumbai Indians,Mumbai Indians,wickets,6
Bengaluru,"Apr 10, 2023",1 wicket,2023,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,wicket,1
Hyderabad,"Apr 9, 2023",8 wickets,2023,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,wickets,8
Ahmedabad,"Apr 9, 2023",3 wickets,2023,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,wickets,3
Wankhede,"Apr 8, 2023",7 wickets,2023,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,wickets,7
Guwahati,"Apr 8, 2023",57 runs,2023,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,runs,57
Lucknow,"Apr 7, 2023",5 wickets,2023,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,wickets,5
Eden Gardens,"Apr 6, 2023",81 runs,2023,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,runs,81
Guwahati,"Apr 5, 2023",5 runs,2023,Rajasthan Royals,Punjab Kings,Punjab Kings,runs,5
Delhi,"Apr 4, 2023",6 wickets,2023,Delhi Capitals,Gujarat Titans,Gujarat Titans,wickets,6
Chennai,"Apr 3, 2023",12 runs,2023,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,runs,12
Bengaluru,"Apr 2, 2023",8 wickets,2023,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,wickets,8
Hyderabad,"Apr 2, 2023",72 runs,2023,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,runs,72
Lucknow,"Apr 1, 2023",50 runs,2023,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,runs,50
Mohali,"Apr 1, 2023",7 runs,2023,Punjab Kings,Kolkata Knight Riders,Punjab Kings,runs,7
Ahmedabad,"Mar 31, 2023",5 wickets,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,wickets,5
Ahmedabad,"May 29, 2022",7 wickets,2022,Gujarat Titans,Rajasthan Royals,Gujarat Titans,wickets,7
Ahmedabad,"May 27, 2022",7 wickets,2022,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,wickets,7
Eden Gardens,"May 25, 2022",14 runs,2022,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,14
Eden Gardens,"May 24, 2022",7 wickets,2022,Gujarat Titans,Rajasthan Royals,Gujarat Titans,wickets,7
Wankhede,"May 22, 2022",5 wickets,2022,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,wickets,5
Wankhede,"May 21, 2022",5 wickets,2022,Mumbai Indians,Delhi Capitals,Mumbai Indians,wickets,5
Brabourne,"May 20, 2022",5 wickets,2022,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,wickets,5
Wankhede,"May 19, 2022",8 wickets,2022,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,wickets,8
DY Patil,"May 18, 2022",2 runs,2022,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,runs,2
Wankhede,"May 17, 2022",3 runs,2022,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,3
DY Patil,"May 16, 2022",17 runs,2022,Punjab Kings,Delhi Capitals,Delhi Capitals,runs,17
Brabourne,"May 15, 2022",24 runs,2022,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,runs,24
Wankhede,"May 15, 2022",7 wickets,2022,Chennai Super Kings,Gujarat Titans,Gujarat Titans,wickets,7
Pune,"May 14, 2022",54 runs,2022,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,runs,54
Brabourne,"May 13, 2022",54 runs,2022,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,runs,54
Wankhede,"May 12, 2022",5 wickets,2022,Chennai Super Kings,Mumbai Indians,Mumbai Indians,wickets,5
DY Patil,"May 11, 2022",8 wickets,2022,Rajasthan Royals,Delhi Capitals,Delhi Capitals,wickets,8
Pune,"May 10, 2022",62 runs,2022,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,runs,62
DY Patil,"May 9, 2022",52 runs,2022,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,runs,52
DY Patil,"May 8, 2022",91 runs,2022,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,runs,91
Wankhede,"May 8, 2022",67 runs,2022,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,67
Pune,"May 7, 2022",75 runs,2022,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,runs,75
Wankhede,"May 7, 2022",6 wickets,2022,Punjab Kings,Rajasthan Royals,Rajasthan Royals,wickets,6
Brabourne,"May 6, 2022",5 runs,2022,Gujarat Titans,Mumbai Indians,Mumbai Indians,runs,5
Brabourne,"May 5, 2022",21 runs,2022,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,runs,21
Pune,"May 4, 2022",13 runs,2022,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,runs,13
DY Patil,"May 3, 2022",8 wickets,2022,Gujarat Titans,Punjab Kings,Punjab Kings,wickets,8
Wankhede,"May 2, 2022",7 wickets,2022,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,wickets,7
Pune,"May 1, 2022",13 runs,2022,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,runs,13
Wankhede,"May 1, 2022",6 runs,2022,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,runs,6
DY Patil,"Apr 30, 2022",5 wickets,2022,Rajasthan Royals,Mumbai Indians,Mumbai Indians,wickets,5
Brabourne,"Apr 30, 2022",6 wickets,2022,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,wickets,6
Pune,"Apr 29, 2022",20 runs,2022,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,runs,20
Wankhede,"Apr 28, 2022",4 wickets,2022,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,wickets,4
Wankhede,"Apr 27, 2022",5 wickets,2022,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,wickets,5
Pune,"Apr 26, 2022",29 runs,2022,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,runs,29
Wankhede,"Apr 25, 2022",11 runs,2022,Punjab Kings,Chennai Super Kings,Punjab Kings,runs,11
Wankhede,"Apr 24, 2022",36 runs,2022,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,runs,36
Brabourne,"Apr 23, 2022",9 wickets,2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,9
DY Patil,"Apr 23, 2022",8 runs,2022,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,runs,8
Wankhede,"Apr 22, 2022",15 runs,2022,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,runs,15
DY Patil,"Apr 21, 2022",3 wickets,2022,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,wickets,3
Brabourne,"Apr 20, 2022",9 wickets,2022,Delhi Capitals,Punjab Kings,Delhi Capitals,wickets,9
DY Patil,"Apr 19, 2022",18 runs,2022,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,18
Brabourne,"Apr 18, 2022",7 runs,2022,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,runs,7
Pune,"Apr 17, 2022",3 wickets,2022,Gujarat Titans,Chennai Super Kings,Gujarat Titans,wickets,3
DY Patil,"Apr 17, 2022",7 wickets,2022,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,7
Wankhede,"Apr 16, 2022",16 runs,2022,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,16
Brabourne,"Apr 16, 2022",18 runs,2022,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,runs,18
Brabourne,"Apr 15, 2022",7 wickets,2022,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,wickets,7
DY Patil,"Apr 14, 2022",37 runs,2022,Rajasthan Royals,Gujarat Titans,Gujarat Titans,runs,37
Pune,"Apr 13, 2022",12 runs,2022,Mumbai Indians,Punjab Kings,Punjab Kings,runs,12
DY Patil,"Apr 12, 2022",23 runs,2022,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,runs,23
DY Patil,"Apr 11, 2022",8 wickets,2022,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,wickets,8
Wankhede,"Apr 10, 2022",3 runs,2022,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,runs,3
Brabourne,"Apr 10, 2022",44 runs,2022,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,runs,44
Pune,"Apr 9, 2022",7 wickets,2022,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,wickets,7
DY Patil,"Apr 9, 2022",8 wickets,2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,8
Brabourne,"Apr 8, 2022",6 wickets,2022,Punjab Kings,Gujarat Titans,Gujarat Titans,wickets,6
DY Patil,"Apr 7, 2022",6 wickets,2022,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,wickets,6
Pune,"Apr 6, 2022",5 wickets,2022,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,wickets,5
Wankhede,"Apr 5, 2022",4 wickets,2022,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,4
DY Patil,"Apr 4, 2022",12 runs,2022,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,runs,12
Brabourne,"Apr 3, 2022",54 runs,2022,Chennai Super Kings,Punjab Kings,Punjab Kings,runs,54
Pune,"Apr 2, 2022",14 runs,2022,Gujarat Titans,Delhi Capitals,Gujarat Titans,runs,14
DY Patil,"Apr 2, 2022",23 runs,2022,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,runs,23
Wankhede,"Apr 1, 2022",6 wickets,2022,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,wickets,6
Brabourne,"Mar 31, 2022",6 wickets,2022,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,wickets,6
DY Patil,"Mar 30, 2022",3 wickets,2022,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,3
Pune,"Mar 29, 2022",61 runs,2022,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,runs,61
Wankhede,"Mar 28, 2022",5 wickets,2022,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,wickets,5
DY Patil,"Mar 27, 2022",5 wickets,2022,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,wickets,5
Brabourne,"Mar 27, 2022",4 wickets,2022,Delhi Capitals,Mumbai Indians,Delhi Capitals,wickets,4
Wankhede,"Mar 26, 2022",6 wickets,2022,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,wickets,6
Dubai (DICS),"Oct 15, 2021",27 runs,2021,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,runs,27
Sharjah,"Oct 13, 2021",3 wickets,2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,wickets,3
Sharjah,"Oct 11, 2021",4 wickets,2021,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,wickets,4
Dubai (DICS),"Oct 10, 2021",4 wickets,2021,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,wickets,4
Dubai (DICS),"Oct 8, 2021",7 wickets,2021,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,wickets,7
Abu Dhabi,"Oct 8, 2021",42 runs,2021,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,runs,42
Sharjah,"Oct 7, 2021",86 runs,2021,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,runs,86
