Ground,Match_Date,Result_Margin,Season,Team_1,Team_2,Winner,result_margin_type,result_margin_value
Jaipur,"Apr 27, 2013",8 wickets,2013,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,wickets,8
Eden Gardens,"Apr 26, 2013",6 wickets,2013,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,wickets,6
Chennai,"Apr 25, 2013",5 wickets,2013,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,wickets,5
Eden Gardens,"Apr 24, 2013",5 wickets,2013,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,wickets,5
Delhi,"Apr 23, 2013",5 wickets,2013,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,wickets,5
Bengaluru,"Apr 23, 2013",130 runs,2013,Royal Challengers Bangalore,Pune Warriors India,Royal Challengers Bangalore,runs,130
Chennai,"Apr 22, 2013",5 wickets,2013,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,wickets,5
Mohali,"Apr 21, 2013",7 wickets,2013,Kings XI Punjab,Pune Warriors India,Kings XI Punjab,wickets,7
Delhi,"Apr 21, 2013",9 wickets,2013,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,wickets,9
Bengaluru,"Apr 20, 2013",7 wickets,2013,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,wickets,7
Eden Gardens,"Apr 20, 2013",4 wickets,2013,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,wickets,4
Hyderabad,"Apr 19, 2013",5 wickets,2013,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,wickets,5
Delhi,"Apr 18, 2013",86 runs,2013,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,runs,86
Jaipur,"Apr 17, 2013",87 runs,2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,runs,87
Pune,"Apr 17, 2013",11 runs,2013,Pune Warriors India,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,11
Mohali,"Apr 16, 2013",4 runs,2013,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,runs,4
Chennai,"Apr 15, 2013",24 runs,2013,Chennai Super Kings,Pune Warriors India,Pune Warriors India,runs,24
