balls,best_innings_bowled,best_innings_bowled_runs,best_innings_bowled_wickets,bowling_average,bowling_stike_rate,catches_taken,economy_rate,innings_bowled,last_played_year,maidens_earned,matches_played,player,playing_span,runs_conceded,start_year,team_name,wickets
99,,7,1,22.71,14.1,9,9.63,11,2016,0,22,A Ashish Reddy,,159,2013,Sunrisers Hyderabad,7
6,,,,0.0,,2,20.0,1,2012,0,19,B Chipli,,20,2011,Deccan Chargers,0
436,,13,2,30.68,22.9,13,8.02,21,2012,0,21,DT Christian,,583,2011,Deccan Chargers,19
228,,45,4,30.81,20.7,5,8.92,11,2024,0,11,JB Little,,339,2023,Gujarat Titans,11
0,,,,0.0,,9,,0,2024,0,19,A Manohar,,0,2022,Gujarat Titans,0
268,,29,3,38.54,24.3,2,9.49,12,2017,0,12,Basil Thampi,,424,2017,Gujarat Lions,11
336,,22,4,29.05,19.7,6,8.82,15,2016,0,15,DJ Bravo,,494,2016,Gujarat Lions,17
0,,,,0.0,,6,,0,2024,0,18,Abishek Porel,,0,2023,Delhi Daredevils,0
171,,36,3,34.42,24.4,0,8.45,10,2016,0,10,M Ashwin,,241,2016,Rising Pune Supergiants,7
264,,34,4,31.9,26.4,3,7.25,14,2016,0,14,R Ashwin,,319,2016,Rising Pune Supergiants,10
132,,18,2,43.4,26.4,6,9.86,11,2015,0,16,CJ Anderson,,217,2014,Mumbai Indians,5
0,,,,0.0,,0,,0,2022,0,3,Anmolpreet Singh,,0,2021,Mumbai Indians,0
12,,9,1,9.0,12.0,0,4.5,1,2011,1,1,JP Faulkner,,9,2011,Pune Warriors,1
0,,,,0.0,,2,,0,2012,0,9,CJ Ferguson,,0,2011,Pune Warriors,0
18,,14,1,50.0,18.0,14,16.66,3,2024,0,41,S Dube,,50,2022,Chennai Super Kings,1
0,,,,0.0,,28,,0,2024,0,38,KL Rahul,,0,2022,Lucknow Super Giants,0
0,,,,0.0,,0,,0,2008,0,3,J Arunkumar,,0,2008,Royal Challengers Bangalore,0
42,,36,2,17.66,14.0,0,7.57,2,2018,0,2,M Ashwin,,53,2018,Royal Challengers Bangalore,3
450,,14,2,33.23,26.4,15,7.53,47,2019,0,72,STR Binny,,565,2011,Rajasthan Royals,17
534,,6,3,32.1,28.1,9,6.85,24,2012,0,24,J Botha,,610,2009,Rajasthan Royals,19
0,,,,0.0,,1,,0,2011,0,4,MV Boucher,,0,2011,Kolkata Knight Riders,0
143,,30,2,43.2,28.6,0,9.06,6,2017,0,6,TA Boult,,216,2017,Kolkata Knight Riders,5
747,,34,4,26.38,19.1,4,8.26,33,2014,2,33,P Awana,,1029,2012,Kings XI Punjab,39
519,,20,3,22.72,17.8,8,7.61,22,2013,0,22,Azhar Mahmood,,659,2012,Kings XI Punjab,29
0,,,,0.0,,18,,0,2021,0,28,JM Bairstow,,0,2019,Sunrisers Hyderabad,0
157,,4,2,45.0,26.1,2,10.31,8,2020,0,8,Basil Thampi,,270,2018,Sunrisers Hyderabad,6
0,,,,0.0,,0,,0,2008,0,1,H Das,,0,2008,Deccan Chargers,0
0,,,,0.0,,0,,0,2011,0,1,KH Devdhar,,0,2011,Deccan Chargers,0
0,,,,0.0,,22,,0,2024,0,41,DA Miller,,0,2022,Gujarat Titans,0
756,,11,4,21.04,15.7,8,8.01,33,2023,2,33,Mohammed Shami,,1010,2022,Gujarat Titans,48
0,,,,0.0,,2,,0,2016,0,4,ER Dwivedi,,0,2016,Gujarat Lions,0
260,,34,2,53.12,32.5,6,9.8,15,2017,0,15,JP Faulkner,,425,2016,Gujarat Lions,8
308,,23,2,41.54,28.0,3,8.9,15,2013,0,15,AB Agarkar,,457,2011,Delhi Daredevils,11
0,,,,0.0,,4,,0,2016,0,21,MA Agarwal,,0,2014,Delhi Daredevils,0
0,,,,0.0,,2,,0,2016,0,6,GJ Bailey,,0,2016,Rising Pune Supergiants,0
246,,14,2,37.37,30.7,4,7.29,13,2017,1,13,R Bhatia,,299,2016,Rising Pune Supergiants,8
120,,35,1,95.0,60.0,1,9.5,5,2023,0,5,JC Archer,,190,2023,Mumbai Indians,2
85,,39,3,38.0,17.0,2,13.41,6,2023,0,6,Arshad Khan,,190,2023,Mumbai Indians,5
24,,11,1,49.0,24.0,2,12.25,3,2013,0,14,AJ Finch,,49,2013,Pune Warriors,1
60,,27,2,47.5,30.0,7,9.5,4,2012,0,19,SC Ganguly,,95,2011,Pune Warriors,2
6,,,,0.0,,62,16.0,1,2021,0,92,F du Plessis,,16,2012,Chennai Super Kings,0
0,,,,0.0,,2,,0,2008,0,10,SP Fleming,,0,2008,Chennai Super Kings,0
889,,28,3,31.53,22.7,16,8.3,42,2024,0,43,Ravi Bishnoi,,1230,2022,Lucknow Super Giants,39
0,,,,0.0,,0,,0,2023,0,3,KS Sharma,,0,2022,Lucknow Super Giants,0
24,,23,1,23.0,24.0,0,5.75,1,2017,0,1,Avesh Khan,,23,2017,Royal Challengers Bangalore,1
150,,9,4,20.88,16.6,2,7.52,7,2017,1,7,S Badree,,188,2017,Royal Challengers Bangalore,9
920,,22,3,27.71,20.4,11,8.13,41,2024,6,42,TA Boult,,1247,2022,Rajasthan Royals,45
102,,29,2,20.71,14.5,2,8.52,5,2024,0,6,N Burger,,145,2024,Rajasthan Royals,7
18,,,,0.0,,0,9.66,2,2019,0,2,CR Brathwaite,,29,2019,Kolkata Knight Riders,0
0,,,,0.0,,0,,0,2017,0,1,DM Bravo,,0,2017,Kolkata Knight Riders,0
0,,,,0.0,,9,,0,2015,0,30,GJ Bailey,,0,2014,Kings XI Punjab,0
0,,,,0.0,,10,,0,2024,0,22,JM Bairstow,,0,2022,Kings XI Punjab,0
0,,,,0.0,,0,,0,2019,0,2,RK Bhui,,0,2018,Sunrisers Hyderabad,0
224,,13,2,33.33,24.8,3,8.03,16,2017,0,18,Bipul Sharma,,300,2015,Sunrisers Hyderabad,9
48,,7,1,16.5,12.0,11,8.25,6,2012,0,29,S Dhawan,,66,2011,Deccan Chargers,4
